Web Search interest: Aécio Neves; Dilma Rousseff; Marina Silva
Worldwide; Past 90 days

Interest over time
Day,Aécio Neves,Dilma Rousseff,Marina Silva
2014-07-07,2,6,0
2014-07-08,2,18,0
2014-07-09,2,16,0
2014-07-10,2,9,0
2014-07-11,2,7,0
2014-07-12,2,7,0
2014-07-13,2,17,0
2014-07-14,2,22,0
2014-07-15,2,10,0
2014-07-16,2,7,0
2014-07-17,2,5,0
2014-07-18,3,6,0
2014-07-19,2,5,0
2014-07-20,2,4,0
2014-07-21,3,4,0
2014-07-22,2,5,0
2014-07-23,3,6,0
2014-07-24,2,5,0
2014-07-25,2,5,0
2014-07-26,2,5,0
2014-07-27,2,4,0
2014-07-28,2,5,0
2014-07-29,1,7,0
2014-07-30,2,6,0
2014-07-31,2,5,0
2014-08-01,2,5,0
2014-08-02,1,4,0
2014-08-03,1,4,0
2014-08-04,2,4,0
2014-08-05,2,5,0
2014-08-06,2,4,0
2014-08-07,1,5,0
2014-08-08,2,5,0
2014-08-09,1,5,0
2014-08-10,1,4,0
2014-08-11,4,4,0
2014-08-12,7,5,0
2014-08-13,18,18,13
2014-08-14,6,12,7
2014-08-15,3,8,5
2014-08-16,3,6,5
2014-08-17,3,8,6
2014-08-18,4,12,13
2014-08-19,10,100,12
2014-08-20,6,43,10
2014-08-21,5,24,10
2014-08-22,4,17,7
2014-08-23,4,15,6
2014-08-24,3,11,5
2014-08-25,3,10,5
2014-08-26,3,11,8
2014-08-27,7,15,21
2014-08-28,4,12,23
2014-08-29,4,10,12
2014-08-30,4,12,16
2014-08-31,3,9,12
2014-09-01,4,9,12
2014-09-02,4,11,12
2014-09-03,4,13,10
2014-09-04,4,11,10
2014-09-05,3,9,8
2014-09-06,3,8,7
2014-09-07,2,7,5
2014-09-08,3,8,6
2014-09-09,3,8,5
2014-09-10,3,8,5
2014-09-11,3,9,5
2014-09-12,3,9,5
2014-09-13,2,9,5
2014-09-14,2,7,4
2014-09-15,2,8,4
2014-09-16,3,9,5
2014-09-17,4,9,5
2014-09-18,3,8,5
2014-09-19,3,8,4
2014-09-20,3,7,4
2014-09-21,2,6,4
2014-09-22,3,11,4
2014-09-23,4,11,5
2014-09-24,4,11,4
2014-09-25,4,11,6
2014-09-26,3,11,5
2014-09-27,3,10,4
2014-09-28,3,8,4
2014-09-29,7,13,7
2014-09-30,7,15,7
2014-10-01,9,16,8
2014-10-02,11,20,8
2014-10-03,26,30,17
2014-10-04,37,29,21
2014-10-05, , , 
2014-10-06, , , 


Top regions for Aécio Neves
Region,Aécio Neves,Dilma Rousseff,Marina Silva
Brazil,100,100,100
Argentina,0,2,0
Bolivia,0,6,0
United States,0,1,1

Top regions for Dilma Rousseff
Region,Aécio Neves,Dilma Rousseff,Marina Silva
Brazil,100,100,100
Bolivia,0,6,0
Argentina,0,2,0
United States,0,1,1

Top regions for Marina Silva
